id_linea,id_programa,nombre_linea,,,,,,,,,,,,,,,,,,,,
1,1,Capacitar en herramientas y estrategias artísticas para el desarrollo integral infantil en la educación inicial.,,,,,,,,,,,,,,,,,,,,
2,2,"Desarrollar programas de formación artística básica en guitarra, violín, fotografía, teatro y danza.",,,,,,,,,,,,,,,,,,,,
3,3,Impartir seminarios y talleres formativos sobre participación ciudadana y liderazgo.,,,,,,,,,,,,,,,,,,,,
4,4,Capacitar en liderazgo orientado al trabajo colaborativo.,,,,,,,,,,,,,,,,,,,,
5,4,Capacitar en gestión de equipos efectivos.,,,,,,,,,,,,,,,,,,,,
6,4,Desarrollar habilidades de comunicación y confianza grupal.,,,,,,,,,,,,,,,,,,,,
7,4,Capacitar en resolución creativa y constructiva de conflictos.,,,,,,,,,,,,,,,,,,,,
8,4,Capacitar en formación especializada a facilitadores.,,,,,,,,,,,,,,,,,,,,
9,5,"Promover el desarrollo personal, social y vocacional en jóvenes",,,,,,,,,,,,,,,,,,,,
10,5,Fomentar actividades deportivas y recreativas para el aprendizaje colaborativo.,,,,,,,,,,,,,,,,,,,,
11,5,Brindar atención a la salud mental y desarrollar acciones  para el bienestar emocional de los jóvenes y las comunidades.,,,,,,,,,,,,,,,,,,,,
12,5,Implementar programas de orientación vocacional y fortalecer alianzas con instituciones para ampliar oportunidades educativas y laborales.,,,,,,,,,,,,,,,,,,,,
13,6,Implementar programas de formación técnica y digital especializada.,,,,,,,,,,,,,,,,,,,,
14,6,Fomentar habilidades para profesiones creativas y servicios especializados.,,,,,,,,,,,,,,,,,,,,
15,6,Desarrollar formación digital y tecnológica avanzada.,,,,,,,,,,,,,,,,,,,,
16,6,Fortalecer la vinculación intersectorial para ampliar oportunidades educativas y laborales.,,,,,,,,,,,,,,,,,,,,
17,7,Sensibilizar y promover la ética en sectores público y privado.,,,,,,,,,,,,,,,,,,,,
18,7,Capacitar en mecanismos de integridad.,,,,,,,,,,,,,,,,,,,,
19,7,Desarrollar formación especializada para servidores públicos.,,,,,,,,,,,,,,,,,,,,
20,8,Capacitar en habilidades críticas para la gestión pública.,,,,,,,,,,,,,,,,,,,,
21,8,Fomentar redes colaborativas entre funcionarios públicos.,,,,,,,,,,,,,,,,,,,,
22,9,Impulsar la producción artística colaborativa.,,,,,,,,,,,,,,,,,,,,
23,9,Fortalecer vínculos sostenibles entre artistas y comunidades.,,,,,,,,,,,,,,,,,,,,
24,10,Capacitar en habilidades financieras y empresariales.,,,,,,,,,,,,,,,,,,,,
25,10,Acompañar y validar proyectos emprendedores.,,,,,,,,,,,,,,,,,,,,
26,10,Fortalecer el ecosistema emprendedor.,,,,,,,,,,,,,,,,,,,,
27,11,Facilitar el acceso a oportunidades laborales.,,,,,,,,,,,,,,,,,,,,
28,11,Capacitar en habilidades laborales y derechos.,,,,,,,,,,,,,,,,,,,,
29,11,Fortalecer redes y promover la vinculación intersectorial.,,,,,,,,,,,,,,,,,,,,
30,11,Monitorear experiencias laborales.,,,,,,,,,,,,,,,,,,,,
31,12,Elaborar y formalizar una agenda medioambiental institucional basada en el diagnóstico de problemáticas ambientales en la ciudad.,,,,,,,,,,,,,,,,,,,,
32,12,Implementar ecotecnias comunitarias y proyectos de reforestación con especies nativas en espacios públicos.,,,,,,,,,,,,,,,,,,,,
33,12,Establecer alianzas con OSC y sectores privados para financiamiento y ejecución de proyectos ambientales.,,,,,,,,,,,,,,,,,,,,
34,13,Construir y diseñar la Agenda Social 2030.,,,,,,,,,,,,,,,,,,,,
35,13,Monitorear y evaluar la Agenda Social 2030.,,,,,,,,,,,,,,,,,,,,
36,14,Fortalecer capacidades para la incidencia pública.,,,,,,,,,,,,,,,,,,,,
37,14,Generar y presentar propuestas e iniciativas colectivas.,,,,,,,,,,,,,,,,,,,,
38,14,Sistematizar avances y resultados de las iniciativas para evaluar su impacto.,,,,,,,,,,,,,,,,,,,,
39,14,Monitorear y dar seguimiento a acciones gubernamentales.,,,,,,,,,,,,,,,,,,,,
40,15,Diseñar e implementar planes de bienestar personalizados para fortalecer el desarrollo integral del personal de las OSC.,,,,,,,,,,,,,,,,,,,,
41,15,Desarrollar y ejecutar talleres y cursos de formación para fortalecer competencias estratégicas y operativas.,,,,,,,,,,,,,,,,,,,,
42,15,Generar y difundir materiales educativos y recursos de aprendizaje para el fortalecimiento continuo del personal de las OSC.,,,,,,,,,,,,,,,,,,,,
43,15,Fomentar redes de intercambio y colaboración entre el personal de diferentes OSC para fortalecer capacidades colectivas y promover sinergias.,,,,,,,,,,,,,,,,,,,,
44,16,Fortalecer las capacidades de las OSC en gestión de proyectos y empresas sociales mediante formación y desarrollo de herramientas para la viabilidad económica y social.,,,,,,,,,,,,,,,,,,,,
45,16,"Desarrollar y consolidar empresas sociales a través de la implementación de versiones iniciales, su fortalecimiento y continuidad.",,,,,,,,,,,,,,,,,,,,
46,16,"Integrar empresas sociales en estrategias de financiamiento de las OSC, promoviendo su autosostenibilidad y su impacto en el sector social.",,,,,,,,,,,,,,,,,,,,
47,17,Generar espacios de diálogo comunitario.,,,,,,,,,,,,,,,,,,,,
48,17,Formalizar y fortalecer grupos vecinales.,,,,,,,,,,,,,,,,,,,,
49,17,Cocrear planes de activación comunitaria.,,,,,,,,,,,,,,,,,,,,
50,17,Desarrollar y distribuir materiales informativos y metodológicos.,,,,,,,,,,,,,,,,,,,,
51,18,Crear y fortalecer comités ciudadanos para la vigilancia y gestión del entorno urbano.,,,,,,,,,,,,,,,,,,,,
52,18,"Implementar acciones comunitarias de mejora urbana, incorporando reforestación, gestión de residuos y ecotecnias para la rehabilitación de espacios públicos.",,,,,,,,,,,,,,,,,,,,
53,18,Implementar iniciativas de urbanismo táctico que promuevan la participación activa y el uso sostenible de los espacios públicos.,,,,,,,,,,,,,,,,,,,,
54,19,Formar en herramientas de incidencia para la toma de decisiones.,,,,,,,,,,,,,,,,,,,,
55,19,Diseñar y acompañar agendas ciudadanas.,,,,,,,,,,,,,,,,,,,,
56,19,Articular esfuerzos intersectoriales para la incidencia.,,,,,,,,,,,,,,,,,,,,
57,20,Fortalecer capacidades para el voluntariado.,,,,,,,,,,,,,,,,,,,,
58,20,Desarrollar herramientas de organización y seguimiento.,,,,,,,,,,,,,,,,,,,,
59,20,Articular sectores para generar impacto comunitario.,,,,,,,,,,,,,,,,,,,,
60,21,Activar espacios públicos con programación cultural.,,,,,,,,,,,,,,,,,,,,
61,21,Fomentar el talento local y la economía creativa.,,,,,,,,,,,,,,,,,,,,
62,21,Promover la colaboración entre talentos locales.,,,,,,,,,,,,,,,,,,,,
63,22,Monitorear y analizar procesos gubernamentales.,,,,,,,,,,,,,,,,,,,,
64,22,Acompañar en procesos de cabildeo.,,,,,,,,,,,,,,,,,,,,
65,22,Elaborar informes ciudadanos.,,,,,,,,,,,,,,,,,,,,
66,23,Monitorear y analizar contrataciones públicas.,,,,,,,,,,,,,,,,,,,,
67,23,Calcular el riesgo de corrupción.,,,,,,,,,,,,,,,,,,,,
68,23,Estimar el costo de la corrupción administrativa.,,,,,,,,,,,,,,,,,,,,
69,23,Generar y difundir informes sobre corrupción.,,,,,,,,,,,,,,,,,,,,
70,24,"Brindar asesoría legal sobre mecanismos de participación ciudadana, derechos humanos y urbanos, y demandas de amparo.",,,,,,,,,,,,,,,,,,,,
71,24,Analizar aspectos jurídicos y formar en derechos ciudadanos y urbanos.,,,,,,,,,,,,,,,,,,,,
72,24,Capacitar en participación ciudadana y derecho a la ciudad.,,,,,,,,,,,,,,,,,,,,
73,24,Distribuir materiales educativos para empoderar a la ciudadanía en el ejercicio de sus derechos.,,,,,,,,,,,,,,,,,,,,
74,25,Aplicar encuestas de percepción ciudadana.,,,,,,,,,,,,,,,,,,,,
75,25,Generar datos e indicadores clave.,,,,,,,,,,,,,,,,,,,,
76,25,Analizar y dar seguimiento a la normatividad urbana y ambiental.,,,,,,,,,,,,,,,,,,,,
77,25,Elaborar informes estratégicos.,,,,,,,,,,,,,,,,,,,,
78,25,Promover el diálogo multisectorial.,,,,,,,,,,,,,,,,,,,,
79,26,Desarrollar estrategias de comunicación digital y territorial.,,,,,,,,,,,,,,,,,,,,
80,26,Producir campañas temáticas de incidencia de la opinión pública.,,,,,,,,,,,,,,,,,,,,
81,26,"Elaborar materiales gráficos, interactivos y audiovisuales.",,,,,,,,,,,,,,,,,,,,
82,26,Capacitar a las organizaciones de la sociedad civil (OSC) en estrategias de comunicación y difusión de sus iniciativas.,,,,,,,,,,,,,,,,,,,,
83,26,Difundir las iniciativas de las osc.,,,,,,,,,,,,,,,,,,,,
84,27,Generar contenido informativo sobre problemáticas territoriales.,,,,,,,,,,,,,,,,,,,,
85,27,Visibilizar actores clave y organizaciones de la sociedad civil.,,,,,,,,,,,,,,,,,,,,
86,27,Analizar y monitorear procesos gubernamentales.,,,,,,,,,,,,,,,,,,,,
87,27,Difundir casos exitosos de participación ciudadana.,,,,,,,,,,,,,,,,,,,,
88,28,Diseñar e implementar planes de bienestar personalizados para fortalecer el desarrollo integral del personal de las OSC.,,,,,,,,,,,,,,,,,,,,
89,28,Desarrollar y ejecutar talleres y cursos de formación para fortalecer competencias estratégicas y operativas.,,,,,,,,,,,,,,,,,,,,
90,28,Generar y difundir materiales educativos y recursos de aprendizaje para el fortalecimiento continuo del personal del GPJ,,,,,,,,,,,,,,,,,,,,
91,28,Fomentar redes de intercambio y colaboración entre el personal del GPJ para fortalecer capacidades colectivas y promover sinergias.,,,,,,,,,,,,,,,,,,,,
92,28,Capacitar continuamente al personal del GPJ,,,,,,,,,,,,,,,,,,,,
93,29,"Diseñar, implementar y dar seguimiento a proyectos estratégicos.",,,,,,,,,,,,,,,,,,,,
94,29,Implementar un sistema de monitoreo para el seguimiento de proyectos.,,,,,,,,,,,,,,,,,,,,
95,29,Establecer alianzas multisectoriales para la sostenibilidad de los proyectos.,,,,,,,,,,,,,,,,,,,,
96,30,Unificar y optimizar la gestión documental del GPJ,,,,,,,,,,,,,,,,,,,,
97,30,Automatizar procesos operativos y administrativos,,,,,,,,,,,,,,,,,,,,
98,31,Fortalecer y diversificar las fuentes de financiamiento mediante la consolidación de relaciones con donantes actuales y la captación de nuevos aliados estratégicos.,,,,,,,,,,,,,,,,,,,,
99,31,Diseñar e implementar estrategias efectivas de captación y fidelización de donantes para garantizar la sostenibilidad financiera.,,,,,,,,,,,,,,,,,,,,
100,31,Desarrollar mecanismos innovadores de financiamiento y generación de ingresos que reduzcan la dependencia de donaciones tradicionales y promuevan la autonomía financiera (incubadora de empresas sociales).,,,,,,,,,,,,,,,,,,,,
101,32,Implementar estrategias de mantenimiento preventivo y correctivo para garantizar el buen estado y sostenibilidad de los bienes muebles e inmuebles del GPJ.,,,,,,,,,,,,,,,,,,,,
102,32,"Optimizar y difundir el uso de los espacios disponibles para renta, asegurando su aprovechamiento eficiente.",,,,,,,,,,,,,,,,,,,,
103,32,"Fortalecer la promoción y visibilidad de los espacios disponibles, mediante la difusión en redes sociales y otros canales de comunicación.",,,,,,,,,,,,,,,,,,,,
104,33,"Optimizar procesos internos a través de la digitalización y automatización, mejorando la eficiencia operativa y reduciendo la carga administrativa.",,,,,,,,,,,,,,,,,,,,
105,33,Implementar metodologías ágiles y herramientas innovadoras para fortalecer la gestión organizacional y la capacidad adaptativa del equipo.,,,,,,,,,,,,,,,,,,,,
106,33,"Capacitar al equipo en innovación organizacional mediante formación en nuevas tecnologías, metodologías de trabajo y enfoques estratégicos.",,,,,,,,,,,,,,,,,,,,
107,33,"Desarrollar un sistema de monitoreo y mejora continua para evaluar la eficiencia, efectividad y sostenibilidad de los procesos internos.",,,,,,,,,,,,,,,,,,,,
108,34,Diseñar e implementar estrategias de comunicación para fortalecer la identidad y presencia del GPJ.,,,,,,,,,,,,,,,,,,,,
109,34,Optimizar y diversificar los canales de difusión para ampliar el alcance y visibilidad de las acciones del GPJ.,,,,,,,,,,,,,,,,,,,,
